name,city,country_iso,iata,icao,lat,lon,type,country
Mobile Regional Airport,Mobile,US,MOB,KMOB,30.6912,-88.242798,medium_airport,United States
Minot International Airport,Minot,US,MOT,KMOT,48.25801,-101.279123,medium_airport,United States
Monterey Regional Airport,Monterey,US,MRY,KMRY,36.586777,-121.844183,medium_airport,United States
Northwest Alabama Regional Airport,Muscle Shoals,US,MSL,KMSL,34.745123,-87.612981,medium_airport,United States
Dane County Regional Truax Field,Madison,US,MSN,KMSN,43.1399,-89.337502,medium_airport,United States
Missoula Montana Airport,Missoula,US,MSO,KMSO,46.915816,-114.091107,medium_airport,United States
Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,US,MSP,KMSP,44.880081,-93.221741,large_airport,United States
Massena International Airport Richards Field,Massena,US,MSS,KMSS,44.936157,-74.844304,medium_airport,United States
Louis Armstrong New Orleans International Airport,New Orleans,US,MSY,KMSY,29.993401,-90.264673,large_airport,United States
Montrose Regional Airport,Montrose,US,MTJ,KMTJ,38.5098,-107.893997,medium_airport,United States
Veterans Airport of Southern Illinois,Marion,US,MWA,KMWA,37.751208,-89.016568,medium_airport,United States
Mineral Wells Regional Airport,Mineral Wells,US,MWL,KMWL,32.781601,-98.060204,medium_airport,United States
McCall Municipal Airport,McCall,US,MYL,KMYL,44.888837,-116.101112,medium_airport,United States
Myrtle Beach International Airport,Myrtle Beach,US,MYR,KMYR,33.679699,-78.928299,large_airport,United States
Yuma International Airport / Marine Corps Air Station Yuma,Yuma,US,YUM,KNYL,32.650938,-114.609375,medium_airport,United States
Albert J Ellis Airport,Richlands,US,OAJ,KOAJ,34.829201,-77.612099,medium_airport,United States
Oakland San Francisco Bay Airport,Oakland,US,OAK,KOAK,37.720085,-122.221184,large_airport,United States
Ogden Hinckley Airport,Ogden,US,OGD,KOGD,41.195899963379,-112.0120010376,medium_airport,United States
Ogdensburg International Airport,Ogdensburg,US,OGS,KOGS,44.6819,-75.4655,medium_airport,United States
OKC Will Rogers World Airport,Oklahoma City,US,OKC,KOKC,35.393388,-97.598248,large_airport,United States
L M Clayton Airport,Wolf Point,US,OLF,KOLF,48.094501,-105.574997,medium_airport,United States
Olympia Regional Airport,Olympia,US,OLM,KOLM,46.969399,-122.903,medium_airport,United States
